LOId	Topikoa	Heuristikoa	Ariketa
92158095-2a39-11e0-9cb3-6f520c94ea0d	T11	poly	ARIK_1_ANI_
ad374da8-2a39-11e0-9cb3-6f520c94ea0d	T22	baseline	ARIK_2_ANI_
b7049c7e-2a39-11e0-9cb3-6f520c94ea0d	T39	poly	ARIK_3_ANI_
ee25bb1b-2a38-11e0-9cb3-6f520c94ea0d	T6	baseline	ARIK_4_ANI_
ca9d02c3-2a37-11e0-9cb3-6f520c94ea0d	T41	mono	ARIK_5_BAK_
868ff025-2a38-11e0-9cb3-6f520c94ea0d	T42	mono	ARIK_6_BAK_
be470d36-2a37-11e0-9cb3-6f520c94ea0d	T40	poly	ARIK_7_BAK_
c1e0ea53-2a39-11e0-9cb3-6f520c94ea0d	T88	poly	ARIK_8_BAK_
f53b7fd0-2a37-11e0-9cb3-6f520c94ea0d	T65	mono	ARIK_9_BAK_
33c1f83d-2a38-11e0-9cb3-6f520c94ea0d	T44	mono	ARIK_10_BAK_
5b56ae6f-2a37-11e0-9cb3-6f520c94ea0d	T41	mono	ARIK_11_BAK_
88719e2e-2a37-11e0-9cb3-6f520c94ea0d	T44	mono	ARIK_12_BAK_
ad374da8-2a39-11e0-9cb3-6f520c94ea0d	T44	mono	ARIK_13_BAK_
cf202e6e-2a39-11e0-9cb3-6f520c94ea0d	T28	baseline	ARIK_14_BAK_
c7724fb0-2a37-11e0-9cb3-6f520c94ea0d	T41	mono	ARIK_15_BAK_
b7049c7e-2a39-11e0-9cb3-6f520c94ea0d	T44	mono	ARIK_16_BAK_
ee25bb1b-2a38-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_17_BAK_
267c7dd7-2a39-11e0-9cb3-6f520c94ea0d	T46	mono	ARIK_18_BAK_
041fc15c-2a38-11e0-9cb3-6f520c94ea0d	T15	mono	ARIK_19_BAK_
0270d8da-2a38-11e0-9cb3-6f520c94ea0d	T55	poly	ARIK_20_BAK_
dbd0bccd-2a38-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_21_BAK_
50eab8e1-2a38-11e0-9cb3-6f520c94ea0d	T40	poly	ARIK_22_BAK_
26657366-2a39-11e0-9cb3-6f520c94ea0d	T86	poly	ARIK_23_BAK_
355f066e-2a38-11e0-9cb3-6f520c94ea0d	T55	poly	ARIK_24_BAK_
cf202e6e-2a39-11e0-9cb3-6f520c94ea0d	T28	baseline	ARIK_25_BAK_
57ece40e-2a39-11e0-9cb3-6f520c94ea0d	T52	mono	ARIK_26_ANI_
33c1f83d-2a38-11e0-9cb3-6f520c94ea0d	T55	poly	ARIK_27_BAK_
5d1d8bc1-2a37-11e0-9cb3-6f520c94ea0d	T43	poly	ARIK_28_BAK_
57ece40e-2a39-11e0-9cb3-6f520c94ea0d	T23	baseline	ARIK_29_ANI_
8885f3c7-2a38-11e0-9cb3-6f520c94ea0d	T31	baseline	ARIK_30_ANI_
52970953-2a38-11e0-9cb3-6f520c94ea0d	T43	poly	ARIK_31_BAK_
92158095-2a39-11e0-9cb3-6f520c94ea0d	T5	poly	ARIK_32_BAK_
c0459c58-2a37-11e0-9cb3-6f520c94ea0d	T41	mono	ARIK_33_BAK_
922c63f6-2a39-11e0-9cb3-6f520c94ea0d	T46	mono	ARIK_34_BAK_
739076c1-2a37-11e0-9cb3-6f520c94ea0d	T15	mono	ARIK_35_BAK_
1f9d911c-2a38-11e0-9cb3-6f520c94ea0d	T73	mono	ARIK_36_BAK_
52970953-2a38-11e0-9cb3-6f520c94ea0d	T44	mono	ARIK_37_BAK_
383b87f8-2a3a-11e0-9cb3-6f520c94ea0d	T44	mono	ARIK_38_BAK_
be470d36-2a37-11e0-9cb3-6f520c94ea0d	T41	mono	ARIK_39_BAK_
92158095-2a39-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_40_BAK_
e54a6d65-2a38-11e0-9cb3-6f520c94ea0d	T12	poly	ARIK_41_ANI_
a7834316-2a37-11e0-9cb3-6f520c94ea0d	T43	poly	ARIK_42_BAK_
ad374da8-2a39-11e0-9cb3-6f520c94ea0d	T66	poly	ARIK_43_BAK_
276e9ac4-2a38-11e0-9cb3-6f520c94ea0d	T76	baseline	ARIK_44_ANI_
ad374da8-2a39-11e0-9cb3-6f520c94ea0d	T37	poly	ARIK_45_ANI_
50eab8e1-2a38-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_46_BAK_
71d3365f-2a37-11e0-9cb3-6f520c94ea0d	T44	mono	ARIK_47_BAK_
163e34cf-2a3a-11e0-9cb3-6f520c94ea0d	T7	poly	ARIK_48_BAK_
26657366-2a39-11e0-9cb3-6f520c94ea0d	T40	poly	ARIK_49_BAK_
739076c1-2a37-11e0-9cb3-6f520c94ea0d	T43	poly	ARIK_50_BAK_
71d3365f-2a37-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_51_BAK_
1f9d911c-2a38-11e0-9cb3-6f520c94ea0d	T69	baseline	ARIK_52_BAK_
c21d90aa-2a37-11e0-9cb3-6f520c94ea0d	T41	mono	ARIK_53_BAK_
115c78a5-2a39-11e0-9cb3-6f520c94ea0d	T15	mono	ARIK_54_BAK_
26657366-2a39-11e0-9cb3-6f520c94ea0d	T55	poly	ARIK_55_BAK_
922c63f6-2a39-11e0-9cb3-6f520c94ea0d	T17	poly	ARIK_56_ANI_
38247d87-2a3a-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_57_BAK_
041fc15c-2a38-11e0-9cb3-6f520c94ea0d	T43	poly	ARIK_58_BAK_
57ece40e-2a39-11e0-9cb3-6f520c94ea0d	T36	poly	ARIK_59_ANI_
041fc15c-2a38-11e0-9cb3-6f520c94ea0d	T54	poly	ARIK_60_ANI_
528025f2-2a38-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_61_BAK_
4d1baf7d-2a38-11e0-9cb3-6f520c94ea0d	T55	poly	ARIK_62_BAK_
92158095-2a39-11e0-9cb3-6f520c94ea0d	T86	poly	ARIK_63_BAK_
5d1d8bc1-2a37-11e0-9cb3-6f520c94ea0d	T45	baseline	ARIK_64_BAK_
276e9ac4-2a38-11e0-9cb3-6f520c94ea0d	T15	mono	ARIK_65_BAK_
5d1d8bc1-2a37-11e0-9cb3-6f520c94ea0d	T40	poly	ARIK_66_BAK_
6b5623f8-2a37-11e0-9cb3-6f520c94ea0d	T41	mono	ARIK_67_BAK_
dbd0bccd-2a38-11e0-9cb3-6f520c94ea0d	T40	poly	ARIK_68_BAK_
f5233cdf-2a37-11e0-9cb3-6f520c94ea0d	T65	mono	ARIK_69_BAK_
1f9d911c-2a38-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_70_BAK_
57ece40e-2a39-11e0-9cb3-6f520c94ea0d	T37	poly	ARIK_71_ANI_
ad204337-2a39-11e0-9cb3-6f520c94ea0d	T88	poly	ARIK_72_BAK_
ad374da8-2a39-11e0-9cb3-6f520c94ea0d	T88	poly	ARIK_73_BAK_
922c63f6-2a39-11e0-9cb3-6f520c94ea0d	T30	poly	ARIK_74_ANI_
041fc15c-2a38-11e0-9cb3-6f520c94ea0d	T80	poly	ARIK_75_ANI_
922c63f6-2a39-11e0-9cb3-6f520c94ea0d	T88	poly	ARIK_76_BAK_
52970953-2a38-11e0-9cb3-6f520c94ea0d	T72	mono	ARIK_77_BAK_
a7834316-2a37-11e0-9cb3-6f520c94ea0d	T40	poly	ARIK_78_BAK_
75078662-2a37-11e0-9cb3-6f520c94ea0d	T43	poly	ARIK_79_BAK_
52970953-2a38-11e0-9cb3-6f520c94ea0d	T56	poly	ARIK_80_BAK_
